"Index","Offset","TokenVar","TargetProp","TokenType","TokenString"
"231","7475542","Of","","Symbol","aiChat.IMultiRulesStore"
"232","7475634","Nr","","Symbol","aiChat.IRulesModeStore"
"233","7475725","Na","","Symbol.for","ISkillStore"
"234","7475812","xL","","Symbol.for","IWorkspaceFacade"
"235","7475904","jO","","Symbol.for","IPlanService"
"236","7477321","M0","","Symbol.for","aiAgent.ISessionService"
"237","7477451","M0","","Symbol.for","aiAgent.ISessionService"
"238","7487056","Dj","","Symbol.for","IUserMessageParser"
"239","7487152","k1","","Symbol","IModelStore"
"240","7487238","xC","","Symbol","ISessionStore"
"241","7487326","ED","","Symbol.for","aiAgent.IEnvironmentFacade"
"242","7487413","xJ","","Symbol.for","IEditorFacade"
"243","7487502","xL","","Symbol.for","IWorkspaceFacade"
"244","7487594","jW","","Symbol.for","aiAgent.ICKGService"
"245","7487681","jO","","Symbol.for","IPlanService"
"246","7487769","Os","","Symbol.for","aiAgent.IConfigurationConnectorService"
"247","7487960","Os","","Symbol.for","aiAgent.IConfigurationConnectorService"
"248","7488056","kA","","Symbol.for","aiAgent.IAiNativeModelService"
"249","7488146","D6","","Symbol","IAgentService"
"250","7488237","D6","","Symbol","IAgentService"
"251","7488325","j5","_be","Symbol.for","aiAgent.IAskQuestionFeatureService"
"252","7488426","IN","_beforeStreamingStart","Symbol","ISessionRelationStoreInternal"
"253","7488569","Il","_beforeStreamingStart","Symbol.for","aiAgent.ICommercialPermissionService"
"254","7492830","zt","","Symbol.for","IChatStreamEmitter"
"255","7492923","zi","","Symbol.for","IInlineChatStreamEmitter"
"256","7493022","bY","","Symbol.for","aiAgent.ILogService"
